"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
1.1116,-0.074262,0,-0.0073493,-0.0073493,-0.0073493,5.396,-0.074262,-1.1116,0
1.1137,0.00017811,0,0.029289,0.029289,0.029289,5.4705,0.00017811,-1.1137,0
1.114,0.049599,0,-0.014469,-0.014469,-0.014469,5.5199,0.049599,-1.114,0
1.0973,0.1834,0,-0.022863,-0.022863,-0.022863,5.6548,0.1834,-1.0973,0
1.0853,0.24508,0,-0.0059401,-0.0059401,-0.0059401,5.7176,0.24508,-1.0853,0
1.0743,0.29365,0,0.030374,0.030374,0.030374,5.7674,0.29365,-1.0743,0
1.024,0.44582,0,0.054464,0.054464,0.054464,5.9276,0.44582,-1.024,0
1.0177,0.46085,0,0.039552,0.039552,0.039552,5.944,0.46085,-1.0177,0
1.0035,0.48782,0,0.032738,0.032738,0.032738,5.9745,0.48782,-1.0035,0
0.92815,0.61783,0,-0.03361,-0.03361,-0.03361,6.1247,0.61783,-0.92815,0
0.8731,0.69447,0,0.015961,0.015961,0.015961,6.2191,0.69447,-0.8731,0
0.80669,0.77032,0,0.0083466,0.0083466,0.0083466,6.3199,0.77032,-0.80669,0
0.77324,0.80451,0,0.00039527,0.00039527,0.00039527,6.3677,0.80451,-0.77324,0
0.75769,0.81854,0,-0.012573,-0.012573,-0.012573,6.3886,0.81854,-0.75769,0
0.68662,0.87797,0,-0.017974,-0.017974,-0.017974,6.4813,0.87797,-0.68662,0
0.64011,0.91387,0,-0.023898,-0.023898,-0.023898,6.54,0.91387,-0.64011,0
0.62672,0.92387,0,-0.020879,-0.020879,-0.020879,6.5568,0.92387,-0.62672,0
0.56449,0.95962,0,-0.00073035,-0.00073035,-0.00073035,6.6285,0.95962,-0.56449,0
0.47129,1.0106,0,0.044506,0.044506,0.044506,6.7347,1.0106,-0.47129,0
0.45301,1.0199,0,0.029829,0.029829,0.029829,6.7553,1.0199,-0.45301,0
0.37157,1.0491,0,0.0077407,0.0077407,0.0077407,6.8418,1.0491,-0.37157,0
0.25883,1.0853,0,-0.037588,-0.037588,-0.037588,6.9602,1.0853,-0.25883,0
0.21756,1.0919,0,-0.028162,-0.028162,-0.028162,7.002,1.0919,-0.21756,0
