"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29955,-0.29955,0,6.3413e-05,6.3413e-05,6.3413e-05,0,-1.1981,-0.89866,0
-0.28092,-0.28092,0,0.00010786,0.00010786,0.00010786,0.068565,-1.2378,-0.84277,0
-0.26551,-0.26551,0,0.00012796,0.00012796,0.00012796,0.1242,-1.2687,-0.79654,0
-0.24797,-0.24797,0,0.00016886,0.00016886,0.00016886,0.1863,-1.3017,-0.7439,0
-0.23685,-0.23685,0,0.00023535,0.00023535,0.00023535,0.22436,-1.32,-0.71054,0
-0.20716,-0.20716,0,0.00037651,0.00037651,0.00037651,0.32368,-1.364,-0.62147,0
-0.1835,-0.1835,0,0.00057447,0.00057447,0.00057447,0.40086,-1.3943,-0.5505,0
-0.17259,-0.17259,0,0.00065914,0.00065914,0.00065914,0.43591,-1.4068,-0.51776,0
-0.16227,-0.16227,0,0.00077148,0.00077148,0.00077148,0.46844,-1.4169,-0.48682,0
-0.13406,-0.13406,0,0.0012268,0.0012268,0.0012268,0.55688,-1.4425,-0.40217,0
-0.11464,-0.11464,0,0.0017265,0.0017265,0.0017265,0.61718,-1.458,-0.34392,0
-0.093254,-0.093254,0,0.0021418,0.0021418,0.0021418,0.68292,-1.4724,-0.27976,0
-0.065151,-0.065151,0,0.0031222,0.0031222,0.0031222,0.76841,-1.4865,-0.19545,0
-0.058931,-0.058931,0,0.0033091,0.0033091,0.0033091,0.78724,-1.489,-0.17679,0
-0.05224,-0.05224,0,0.0035721,0.0035721,0.0035721,0.80739,-1.4909,-0.15672,0
-0.019186,-0.019186,0,0.0056748,0.0056748,0.0056748,0.90676,-1.4973,-0.057559,0
0.021439,0.021439,0,0.0092382,0.0092382,0.0092382,1.0286,-1.4966,0.064318,0
0.034985,0.034985,0,0.011117,0.011117,0.011117,1.0693,-1.4948,0.10495,0
0.043949,0.043949,0,0.012711,0.012711,0.012711,1.0963,-1.4925,0.13185,0
0.087054,0.087054,0,0.019283,0.019283,0.019283,1.2266,-1.4764,0.26116,0
0.094283,0.094283,0,0.020971,0.020971,0.020971,1.2487,-1.4723,0.28285,0
0.11664,0.11664,0,0.025441,0.025441,0.025441,1.3175,-1.4569,0.34993,0
0.13847,0.13847,0,0.032253,0.032253,0.032253,1.3854,-1.4392,0.41542,0
0.15389,0.15389,0,0.036075,0.036075,0.036075,1.4336,-1.4256,0.46167,0
0.18189,0.18189,0,0.048194,0.048194,0.048194,1.5231,-1.3947,0.54567,0
0.19494,0.19494,0,0.05249,0.05249,0.05249,1.5649,-1.38,0.58483,0
0.21449,0.21449,0,0.062214,0.062214,0.062214,1.6296,-1.3526,0.64347,0
0.23492,0.23492,0,0.074568,0.074568,0.074568,1.6981,-1.3221,0.70475,0
0.2506,0.2506,0,0.085533,0.085533,0.085533,1.7516,-1.2965,0.7518,0
0.26648,0.26648,0,0.095794,0.095794,0.095794,1.8075,-1.2673,0.79944,0
0.29227,0.29227,0,0.11705,0.11705,0.11705,1.8999,-1.2168,0.87681,0
0.29348,0.29348,0,0.11807,0.11807,0.11807,1.9043,-1.2143,0.88045,0
0.29395,0.29395,0,0.11861,0.11861,0.11861,1.9061,-1.2132,0.88184,0
0.29489,0.29489,0,0.11962,0.11962,0.11962,1.9096,-1.2111,0.88466,0
0.31799,0.31799,0,0.14519,0.14519,0.14519,1.9985,-1.1554,0.95398,0
0.32708,0.32708,0,0.15425,0.15425,0.15425,2.0348,-1.1316,0.98125,0
0.35307,0.35307,0,0.1872,0.1872,0.1872,2.1399,-1.0611,1.0592,0
0.35606,0.35606,0,0.19064,0.19064,0.19064,2.1525,-1.0522,1.0682,0
0.37998,0.37998,0,0.22732,0.22732,0.22732,2.2584,-0.97432,1.1399,0
0.38293,0.38293,0,0.23188,0.23188,0.23188,2.2722,-0.96372,1.1488,0
0.39974,0.39974,0,0.26192,0.26192,0.26192,2.3566,-0.89606,1.1992,0
0.41346,0.41346,0,0.28938,0.28938,0.28938,2.4272,-0.83862,1.2404,0
0.42352,0.42352,0,0.30723,0.30723,0.30723,2.4814,-0.79361,1.2706,0
0.43428,0.43428,0,0.3294,0.3294,0.3294,2.5423,-0.74207,1.3028,0
0.43945,0.43945,0,0.34157,0.34157,0.34157,2.5746,-0.71364,1.3183,0
0.4549,0.4549,0,0.37722,0.37722,0.37722,2.6798,-0.61926,1.3647,0
0.46814,0.46814,0,0.41077,0.41077,0.41077,2.782,-0.52504,1.4044,0
0.47037,0.47037,0,0.41618,0.41618,0.41618,2.8008,-0.50751,1.4111,0
0.47192,0.47192,0,0.42005,0.42005,0.42005,2.8159,-0.49313,1.4158,0
0.48094,0.48094,0,0.44339,0.44339,0.44339,2.9111,-0.40187,1.4428,0
0.48578,0.48578,0,0.45709,0.45709,0.45709,2.968,-0.34684,1.4573,0
0.49054,0.49054,0,0.47001,0.47001,0.47001,3.0329,-0.28352,1.4716,0
0.49517,0.49517,0,0.48284,0.48284,0.48284,3.115,-0.20263,1.4855,0
0.49607,0.49607,0,0.48502,0.48502,0.48502,3.1351,-0.18272,1.4882,0
0.49685,0.49685,0,0.48673,0.48673,0.48673,3.1597,-0.15824,1.4906,0
0.49902,0.49902,0,0.48969,0.48969,0.48969,3.2585,-0.059614,1.4971,0
0.49883,0.49883,0,0.48318,0.48318,0.48318,3.3854,0.067242,1.4965,0
0.4984,0.4984,0,0.47977,0.47977,0.47977,3.4206,0.10247,1.4952,0
0.49765,0.49765,0,0.47619,0.47619,0.47619,3.448,0.12975,1.4929,0
0.49236,0.49236,0,0.4559,0.4559,0.4559,3.5766,0.25741,1.4771,0
0.49084,0.49084,0,0.45075,0.45075,0.45075,3.6016,0.282,1.4725,0
0.48577,0.48577,0,0.43433,0.43433,0.43433,3.6696,0.34825,1.4573,0
0.47975,0.47975,0,0.41523,0.41523,0.41523,3.7391,0.41532,1.4392,0
0.47521,0.47521,0,0.40232,0.40232,0.40232,3.7874,0.46167,1.4256,0
0.46489,0.46489,0,0.37304,0.37304,0.37304,3.8769,0.54567,1.3947,0
0.46001,0.46001,0,0.36075,0.36075,0.36075,3.9187,0.58483,1.38,0
0.45085,0.45085,0,0.33933,0.33933,0.33933,3.9835,0.64347,1.3526,0
0.4407,0.4407,0,0.31382,0.31382,0.31382,4.0519,0.70475,1.3221,0
0.43217,0.43217,0,0.29449,0.29449,0.29449,4.1055,0.7518,1.2965,0
