"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
0.21756,1.0919,0,-0.0077373,-0.0077373,-0.0077373,0,1.0919,-0.21756,0
0.034896,1.1166,0,-0.021837,-0.021837,-0.021837,0.18432,1.1166,-0.034896,0
-0.0024395,1.1159,0,-0.013775,-0.013775,-0.013775,0.22167,1.1159,0.0024395,0
-0.11483,1.1092,0,0.026098,0.026098,0.026098,0.33425,1.1092,0.11483,0
-0.17964,1.1001,0,0.019173,0.019173,0.019173,0.3997,1.1001,0.17964,0
-0.28887,1.0742,0,-0.010024,-0.010024,-0.010024,0.51195,1.0742,0.28887,0
-0.39061,1.0409,0,-0.011645,-0.011645,-0.011645,0.619,1.0409,0.39061,0
-0.48069,1.003,0,-0.021654,-0.021654,-0.021654,0.71675,1.003,0.48069,0
-0.54685,0.97191,0,-0.049018,-0.049018,-0.049018,0.78986,0.97191,0.54685,0
-0.6532,0.90167,0,0.019815,0.019815,0.019815,0.9173,0.90167,0.6532,0
-0.69192,0.87348,0,0.046083,0.046083,0.046083,0.9652,0.87348,0.69192,0
-0.71994,0.8517,0,0.078306,0.078306,0.078306,1.0007,0.8517,0.71994,0
-0.79035,0.78338,0,0.2118,0.2118,0.2118,1.0988,0.78338,0.79035,0
-0.84995,0.72382,0,0.32018,0.32018,0.32018,1.1831,0.72382,0.84995,0
-0.88043,0.68379,0,0.38497,0.38497,0.38497,1.2334,0.68379,0.88043,0
-0.94787,0.58667,0,0.54403,0.54403,0.54403,1.3516,0.58667,0.94787,0
-1.0285,0.43807,0,0.74015,0.74015,0.74015,1.5207,0.43807,1.0285,0
-1.029,0.43695,0,0.74133,0.74133,0.74133,1.5219,0.43695,1.029,0
-1.0294,0.43605,0,0.74191,0.74191,0.74191,1.5229,0.43605,1.0294,0
-1.0753,0.2863,0,0.81701,0.81701,0.81701,1.6795,0.2863,1.0753,0
-1.0907,0.21559,0,0.83978,0.83978,0.83978,1.7519,0.21559,1.0907,0
-1.1089,0.11234,0,0.87056,0.87056,0.87056,1.8567,0.11234,1.1089,0
-1.1151,0.037433,0,0.83793,0.83793,0.83793,1.9319,0.037433,1.1151,0
-1.115,-0.013965,0,0.80668,0.80668,0.80668,1.9833,-0.013965,1.115,0
-1.1094,-0.13645,0,0.78744,0.78744,0.78744,2.1059,-0.13645,1.1094,0
-1.1091,-0.13974,0,0.78689,0.78689,0.78689,2.1092,-0.13974,1.1091,0
-1.1088,-0.14184,0,0.78461,0.78461,0.78461,2.1113,-0.14184,1.1088,0
-1.0809,-0.25758,0,0.59802,0.59802,0.59802,2.2304,-0.25758,1.0809,0
-1.039,-0.39123,0,0.39812,0.39812,0.39812,2.3704,-0.39123,1.039,0
-1.0122,-0.46447,0,0.27366,0.27366,0.27366,2.4484,-0.46447,1.0122,0
-0.98114,-0.52472,0,0.19538,0.19538,0.19538,2.5162,-0.52472,0.98114,0
-0.91386,-0.63738,0,0.064622,0.064622,0.064622,2.6474,-0.63738,0.91386,0
-0.86169,-0.70828,0,0.023846,0.023846,0.023846,2.7355,-0.70828,0.86169,0
-0.81907,-0.75768,0,0.0050502,0.0050502,0.0050502,2.8007,-0.75768,0.81907,0
-0.74986,-0.82517,0,-0.0011087,-0.0011087,-0.0011087,2.8974,-0.82517,0.74986,0
-0.70287,-0.8657,0,-0.0070225,-0.0070225,-0.0070225,2.9594,-0.8657,0.70287,0
-0.60278,-0.93724,0,-0.0022637,-0.0022637,-0.0022637,3.0824,-0.93724,0.60278,0
-0.56869,-0.96077,0,-0.0013215,-0.0013215,-0.0013215,3.1239,-0.96077,0.56869,0
-0.55404,-0.96892,0,-0.00085192,-0.00085192,-0.00085192,3.1406,-0.96892,0.55404,0
-0.51384,-0.98869,0,-0.0010468,-0.0010468,-0.0010468,3.1854,-0.98869,0.51384,0
-0.3995,-1.0404,0,-0.00051424,-0.00051424,-0.00051424,3.3109,-1.0404,0.3995,0
-0.32535,-1.0659,0,-7.3435e-05,-7.3435e-05,-7.3435e-05,3.3893,-1.0659,0.32535,0
-0.25249,-1.0853,0,0.00077361,0.00077361,0.00077361,3.4647,-1.0853,0.25249,0
-0.10551,-1.1117,0,0.000314,0.000314,0.000314,3.6141,-1.1117,0.10551,0
-0.088077,-1.114,0,0.00027898,0.00027898,0.00027898,3.6316,-1.114,0.088077,0
-0.079356,-1.1144,0,0.00024306,0.00024306,0.00024306,3.6404,-1.1144,0.079356,0
0.080576,-1.111,0,-8.5107e-05,-8.5107e-05,-8.5107e-05,3.8003,-1.111,-0.080576,0
0.17101,-1.0982,0,0.00084558,0.00084558,0.00084558,3.8917,-1.0982,-0.17101,0
0.26746,-1.0792,0,4.1782e-05,4.1782e-05,4.1782e-05,3.99,-1.0792,-0.26746,0
0.42518,-1.0339,0,-0.0050555,-0.0050555,-0.0050555,4.1541,-1.0339,-0.42518,0
0.42603,-1.0336,0,-0.0050182,-0.0050182,-0.0050182,4.155,-1.0336,-0.42603,0
0.42681,-1.0333,0,-0.0050676,-0.0050676,-0.0050676,4.1558,-1.0333,-0.42681,0
0.58371,-0.94983,0,0.002289,0.002289,0.002289,4.3335,-0.94983,-0.58371,0
0.61572,-0.92841,0,0.0035571,0.0035571,0.0035571,4.372,-0.92841,-0.61572,0
0.69639,-0.8707,0,0.0013477,0.0013477,0.0013477,4.4712,-0.8707,-0.69639,0
0.73802,-0.83823,0,-0.00061265,-0.00061265,-0.00061265,4.524,-0.83823,-0.73802,0
0.77917,-0.79866,0,0.0036366,0.0036366,0.0036366,4.5811,-0.79866,-0.77917,0
0.8299,-0.74681,0,0.0069489,0.0069489,0.0069489,4.6536,-0.74681,-0.8299,0
0.85225,-0.71978,0,0.0066469,0.0066469,0.0066469,4.6887,-0.71978,-0.85225,0
0.92034,-0.62993,0,0.0016758,0.0016758,0.0016758,4.8015,-0.62993,-0.92034,0
0.9758,-0.53879,0,-0.0035489,-0.0035489,-0.0035489,4.9081,-0.53879,-0.9758,0
0.99719,-0.49706,0,-0.0058534,-0.0058534,-0.0058534,4.955,-0.49706,-0.99719,0
1.0181,-0.45485,0,7.3562e-05,7.3562e-05,7.3562e-05,5.0022,-0.45485,-1.0181,0
1.068,-0.32224,0,0.011364,0.011364,0.011364,5.1439,-0.32224,-1.068,0
1.0829,-0.25675,0,0.0027239,0.0027239,0.0027239,5.211,-0.25675,-1.0829,0
1.1055,-0.14492,0,0.0019976,0.0019976,0.0019976,5.3251,-0.14492,-1.1055,0
1.1116,-0.074262,0,0.0024101,0.0024101,0.0024101,5.396,-0.074262,-1.1116,0
1.1137,0.00017811,0,-0.00047006,-0.00047006,-0.00047006,5.4705,0.00017811,-1.1137,0
1.114,0.049599,0,-0.0051713,-0.0051713,-0.0051713,5.5199,0.049599,-1.114,0
1.0973,0.1834,0,-0.0013838,-0.0013838,-0.0013838,5.6548,0.1834,-1.0973,0
1.0853,0.24508,0,0.0014643,0.0014643,0.0014643,5.7176,0.24508,-1.0853,0
1.0743,0.29365,0,0.0039108,0.0039108,0.0039108,5.7674,0.29365,-1.0743,0
1.024,0.44582,0,0.011228,0.011228,0.011228,5.9276,0.44582,-1.024,0
1.0177,0.46085,0,0.0099342,0.0099342,0.0099342,5.944,0.46085,-1.0177,0
1.0035,0.48782,0,0.010771,0.010771,0.010771,5.9745,0.48782,-1.0035,0
0.92815,0.61783,0,0.00040206,0.00040206,0.00040206,6.1247,0.61783,-0.92815,0
0.8731,0.69447,0,-0.0033853,-0.0033853,-0.0033853,6.2191,0.69447,-0.8731,0
0.80669,0.77032,0,0.00091168,0.00091168,0.00091168,6.3199,0.77032,-0.80669,0
0.77324,0.80451,0,0.001505,0.001505,0.001505,6.3677,0.80451,-0.77324,0
0.75769,0.81854,0,0.00092836,0.00092836,0.00092836,6.3886,0.81854,-0.75769,0
0.68662,0.87797,0,-0.0044915,-0.0044915,-0.0044915,6.4813,0.87797,-0.68662,0
0.64011,0.91387,0,-0.0071872,-0.0071872,-0.0071872,6.54,0.91387,-0.64011,0
0.62672,0.92387,0,-0.0068455,-0.0068455,-0.0068455,6.5568,0.92387,-0.62672,0
0.56449,0.95962,0,0.0001489,0.0001489,0.0001489,6.6285,0.95962,-0.56449,0
0.47129,1.0106,0,0.012319,0.012319,0.012319,6.7347,1.0106,-0.47129,0
0.45301,1.0199,0,0.012731,0.012731,0.012731,6.7553,1.0199,-0.45301,0
0.37157,1.0491,0,0.002305,0.002305,0.002305,6.8418,1.0491,-0.37157,0
0.25883,1.0853,0,-0.012742,-0.012742,-0.012742,6.9602,1.0853,-0.25883,0
0.21756,1.0919,0,-0.0077373,-0.0077373,-0.0077373,7.002,1.0919,-0.21756,0
