"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
0.4407,0.4407,0,2.1788e-05,2.1788e-05,2.1788e-05,4.0519,0.70475,1.3221,0
0.43217,0.43217,0,1.2851e-05,1.2851e-05,1.2851e-05,4.1055,0.7518,1.2965,0
0.42243,0.42243,0,1.0814e-05,1.0814e-05,1.0814e-05,4.1614,0.79944,1.2673,0
0.40559,0.40559,0,4.8278e-06,4.8278e-06,4.8278e-06,4.2537,0.87681,1.2168,0
0.40475,0.40475,0,4.6328e-06,4.6328e-06,4.6328e-06,4.2582,0.88044,1.2143,0
0.40441,0.40441,0,4.4393e-06,4.4393e-06,4.4393e-06,4.2599,0.88183,1.2132,0
0.40353,0.40353,0,4.2774e-06,4.2774e-06,4.2774e-06,4.2643,0.88534,1.2106,0
0.3844,0.3844,0,1.5783e-06,1.5783e-06,1.5783e-06,4.3561,0.95699,1.1532,0
0.37744,0.37744,0,1.4045e-06,1.4045e-06,1.4045e-06,4.3879,0.98095,1.1323,0
0.3537,0.3537,0,1.9979e-07,1.9979e-07,1.9979e-07,4.4937,1.0592,1.0611,0
0.35072,0.35072,0,1.8311e-07,1.8311e-07,1.8311e-07,4.5064,1.0682,1.0522,0
0.32321,0.32321,0,-1.73e-07,-1.73e-07,-1.73e-07,4.6184,1.1439,0.96962,0
0.31983,0.31983,0,-1.7625e-07,-1.7625e-07,-1.7625e-07,4.6316,1.1524,0.95949,0
0.29955,0.29955,0,-1.9384e-07,-1.9384e-07,-1.9384e-07,4.7077,1.1981,0.89866,0
0.28209,0.28209,0,-2.0916e-07,-2.0916e-07,-2.0916e-07,4.7719,1.2352,0.84627,0
0.26565,0.26565,0,-2.0205e-07,-2.0205e-07,-2.0205e-07,4.8312,1.2682,0.79694,0
0.24753,0.24753,0,-1.7418e-07,-1.7418e-07,-1.7418e-07,4.8954,1.3024,0.74259,0
0.23791,0.23791,0,-1.5569e-07,-1.5569e-07,-1.5569e-07,4.9284,1.3184,0.71374,0
0.20878,0.20878,0,-1.1851e-07,-1.1851e-07,-1.1851e-07,5.0259,1.3616,0.62633,0
0.18177,0.18177,0,-7.8192e-08,-7.8192e-08,-7.8192e-08,5.1141,1.3964,0.54531,0
0.17201,0.17201,0,-7.2192e-08,-7.2192e-08,-7.2192e-08,5.1455,1.4076,0.51602,0
0.16305,0.16305,0,-6.7207e-08,-6.7207e-08,-6.7207e-08,5.1737,1.4163,0.48915,0
0.13488,0.13488,0,-6.0852e-08,-6.0852e-08,-6.0852e-08,5.2619,1.4417,0.40465,0
0.11561,0.11561,0,-4.0886e-08,-4.0886e-08,-4.0886e-08,5.3218,1.4573,0.34684,0
0.094496,0.094496,0,-3.3927e-08,-3.3927e-08,-3.3927e-08,5.3868,1.4716,0.28349,0
0.067128,0.067128,0,-2.1043e-08,-2.1043e-08,-2.1043e-08,5.4701,1.4857,0.20138,0
0.060745,0.060745,0,-2.0924e-08,-2.0924e-08,-2.0924e-08,5.4894,1.4883,0.18224,0
0.052922,0.052922,0,-1.977e-08,-1.977e-08,-1.977e-08,5.513,1.4905,0.15877,0
0.019871,0.019871,0,-1.2728e-08,-1.2728e-08,-1.2728e-08,5.6123,1.4971,0.059614,0
-0.022414,-0.022414,0,-8.3942e-09,-8.3942e-09,-8.3942e-09,5.7392,1.4965,-0.067242,0
-0.034827,-0.034827,0,-6.5933e-09,-6.5933e-09,-6.5933e-09,5.7765,1.4949,-0.10448,0
-0.043601,-0.043601,0,-5.2697e-09,-5.2697e-09,-5.2697e-09,5.8029,1.4926,-0.1308,0
-0.087054,-0.087054,0,-3.1324e-09,-3.1324e-09,-3.1324e-09,5.9342,1.4764,-0.26116,0
-0.094316,-0.094316,0,-2.556e-09,-2.556e-09,-2.556e-09,5.9564,1.4723,-0.28295,0
-0.11679,-0.11679,0,-2.3823e-09,-2.3823e-09,-2.3823e-09,6.0256,1.4568,-0.35038,0
-0.13848,-0.13848,0,-1.4826e-09,-1.4826e-09,-1.4826e-09,6.093,1.4392,-0.41543,0
-0.15389,-0.15389,0,-1.3385e-09,-1.3385e-09,-1.3385e-09,6.1412,1.4256,-0.46167,0
-0.18189,-0.18189,0,-7.1242e-10,-7.1242e-10,-7.1242e-10,6.2307,1.3947,-0.54567,0
-0.19494,-0.19494,0,-6.3389e-10,-6.3389e-10,-6.3389e-10,6.2725,1.38,-0.58483,0
-0.21449,-0.21449,0,-5.2329e-10,-5.2329e-10,-5.2329e-10,6.3373,1.3526,-0.64347,0
-0.23492,-0.23492,0,2.4789e-10,2.4789e-10,2.4789e-10,6.4057,1.3221,-0.70475,0
-0.2506,-0.2506,0,9.9268e-10,9.9268e-10,9.9268e-10,6.4593,1.2965,-0.7518,0
-0.26648,-0.26648,0,1.5628e-09,1.5628e-09,1.5628e-09,6.5152,1.2673,-0.79944,0
-0.29227,-0.29227,0,4.6115e-09,4.6115e-09,4.6115e-09,6.6076,1.2168,-0.87681,0
-0.29348,-0.29348,0,4.8742e-09,4.8742e-09,4.8742e-09,6.612,1.2143,-0.88044,0
-0.29394,-0.29394,0,4.688e-09,4.688e-09,4.688e-09,6.6137,1.2132,-0.88183,0
-0.29511,-0.29511,0,4.8657e-09,4.8657e-09,4.8657e-09,6.6181,1.2106,-0.88534,0
-0.319,-0.319,0,5.8749e-09,5.8749e-09,5.8749e-09,6.7099,1.1532,-0.95699,0
-0.32698,-0.32698,0,6.9181e-09,6.9181e-09,6.9181e-09,6.7417,1.1323,-0.98095,0
-0.35307,-0.35307,0,6.4848e-09,6.4848e-09,6.4848e-09,6.8475,1.0611,-1.0592,0
-0.35606,-0.35606,0,7.2612e-09,7.2612e-09,7.2612e-09,6.8602,1.0522,-1.0682,0
-0.38131,-0.38131,0,-1.2439e-08,-1.2439e-08,-1.2439e-08,6.9722,0.96962,-1.1439,0
-0.38413,-0.38413,0,-1.754e-08,-1.754e-08,-1.754e-08,6.9854,0.95949,-1.1524,0
-0.39936,-0.39936,0,-1.0871e-07,-1.0871e-07,-1.0871e-07,7.0615,0.89866,-1.1981,0
-0.41174,-0.41174,0,-1.6648e-07,-1.6648e-07,-1.6648e-07,7.1257,0.84627,-1.2352,0
-0.42274,-0.42274,0,-2.0071e-07,-2.0071e-07,-2.0071e-07,7.185,0.79694,-1.2682,0
-0.43414,-0.43414,0,-2.52e-07,-2.52e-07,-2.52e-07,7.2493,0.74259,-1.3024,0
-0.43948,-0.43948,0,-2.3159e-07,-2.3159e-07,-2.3159e-07,7.2823,0.71374,-1.3184,0
-0.45387,-0.45387,0,-3.672e-07,-3.672e-07,-3.672e-07,7.3797,0.62633,-1.3616,0
-0.46547,-0.46547,0,3.4302e-07,3.4302e-07,3.4302e-07,7.4679,0.54531,-1.3964,0
-0.4692,-0.4692,0,5.3063e-07,5.3063e-07,5.3063e-07,7.4993,0.51602,-1.4076,0
-0.47211,-0.47211,0,1.1577e-06,1.1577e-06,1.1577e-06,7.5275,0.48915,-1.4163,0
-0.48055,-0.48055,0,5.6603e-06,5.6603e-06,5.6603e-06,7.6157,0.40465,-1.4417,0
-0.48578,-0.48578,0,1.3462e-05,1.3462e-05,1.3462e-05,7.6756,0.34684,-1.4573,0
-0.49054,-0.49054,0,1.8136e-05,1.8136e-05,1.8136e-05,7.7406,0.28349,-1.4716,0
-0.49523,-0.49523,0,4.1987e-05,4.1987e-05,4.1987e-05,7.8239,0.20138,-1.4857,0
-0.4961,-0.4961,0,4.6248e-05,4.6248e-05,4.6248e-05,7.8432,0.18224,-1.4883,0
-0.49685,-0.49685,0,5.7043e-05,5.7043e-05,5.7043e-05,7.8668,0.15877,-1.4905,0
-0.49902,-0.49902,0,0.00019094,0.00019094,0.00019094,7.9661,0.059614,-1.4971,0
-0.49883,-0.49883,0,0.00065319,0.00065319,0.00065319,8.093,-0.067242,-1.4965,0
-0.49829,-0.49829,0,0.00093851,0.00093851,0.00093851,8.1303,-0.10448,-1.4949,0
