"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29955,-0.29955,0,0.00041879,0.00041879,0.00041879,0,-1.1981,-0.89866,0
-0.28092,-0.28092,0,0.00031728,0.00031728,0.00031728,0.068565,-1.2378,-0.84277,0
-0.26551,-0.26551,0,0.00028191,0.00028191,0.00028191,0.1242,-1.2687,-0.79654,0
-0.24797,-0.24797,0,0.00022956,0.00022956,0.00022956,0.1863,-1.3017,-0.7439,0
-0.23685,-0.23685,0,0.00019591,0.00019591,0.00019591,0.22436,-1.32,-0.71054,0
-0.20716,-0.20716,0,0.00014651,0.00014651,0.00014651,0.32368,-1.364,-0.62147,0
-0.1835,-0.1835,0,0.00010854,0.00010854,0.00010854,0.40086,-1.3943,-0.5505,0
-0.17259,-0.17259,0,9.9569e-05,9.9569e-05,9.9569e-05,0.43591,-1.4068,-0.51776,0
-0.16227,-0.16227,0,9.2612e-05,9.2612e-05,9.2612e-05,0.46844,-1.4169,-0.48682,0
-0.13406,-0.13406,0,7.978e-05,7.978e-05,7.978e-05,0.55688,-1.4425,-0.40217,0
-0.11464,-0.11464,0,5.9393e-05,5.9393e-05,5.9393e-05,0.61718,-1.458,-0.34392,0
-0.093254,-0.093254,0,4.9807e-05,4.9807e-05,4.9807e-05,0.68292,-1.4724,-0.27976,0
-0.065151,-0.065151,0,3.5093e-05,3.5093e-05,3.5093e-05,0.76841,-1.4865,-0.19545,0
-0.058931,-0.058931,0,3.4172e-05,3.4172e-05,3.4172e-05,0.78724,-1.489,-0.17679,0
-0.05224,-0.05224,0,3.2683e-05,3.2683e-05,3.2683e-05,0.80739,-1.4909,-0.15672,0
-0.019186,-0.019186,0,2.365e-05,2.365e-05,2.365e-05,0.90676,-1.4973,-0.057559,0
0.021439,0.021439,0,1.7376e-05,1.7376e-05,1.7376e-05,1.0286,-1.4966,0.064318,0
0.034985,0.034985,0,1.5417e-05,1.5417e-05,1.5417e-05,1.0693,-1.4948,0.10495,0
0.043949,0.043949,0,1.4253e-05,1.4253e-05,1.4253e-05,1.0963,-1.4925,0.13185,0
0.087054,0.087054,0,1.177e-05,1.177e-05,1.177e-05,1.2266,-1.4764,0.26116,0
0.094283,0.094283,0,1.1715e-05,1.1715e-05,1.1715e-05,1.2487,-1.4723,0.28285,0
0.11664,0.11664,0,1.378e-05,1.378e-05,1.378e-05,1.3175,-1.4569,0.34993,0
0.13847,0.13847,0,1.638e-05,1.638e-05,1.638e-05,1.3854,-1.4392,0.41542,0
0.15389,0.15389,0,1.7636e-05,1.7636e-05,1.7636e-05,1.4336,-1.4256,0.46167,0
0.18189,0.18189,0,2.6344e-05,2.6344e-05,2.6344e-05,1.5231,-1.3947,0.54567,0
0.19494,0.19494,0,2.7875e-05,2.7875e-05,2.7875e-05,1.5649,-1.38,0.58483,0
0.21449,0.21449,0,3.4856e-05,3.4856e-05,3.4856e-05,1.6296,-1.3526,0.64347,0
0.23492,0.23492,0,5.2416e-05,5.2416e-05,5.2416e-05,1.6981,-1.3221,0.70475,0
0.2506,0.2506,0,6.7871e-05,6.7871e-05,6.7871e-05,1.7516,-1.2965,0.7518,0
0.26648,0.26648,0,8.2309e-05,8.2309e-05,8.2309e-05,1.8075,-1.2673,0.79944,0
0.29227,0.29227,0,0.00011698,0.00011698,0.00011698,1.8999,-1.2168,0.87681,0
0.29348,0.29348,0,0.00011922,0.00011922,0.00011922,1.9043,-1.2143,0.88045,0
0.29395,0.29395,0,0.00012183,0.00012183,0.00012183,1.9061,-1.2132,0.88184,0
