"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29991,-0.29991,0,-4.0891e-11,-4.0891e-11,-4.0891e-11,0,-1.1998,-0.89973,0
-0.28786,-0.28786,0,-4.468e-11,-4.468e-11,-4.468e-11,0.044715,-1.2261,-0.86357,0
-0.28324,-0.28324,0,-4.0818e-11,-4.0818e-11,-4.0818e-11,0.061695,-1.236,-0.84972,0
-0.28194,-0.28194,0,-3.171e-11,-3.171e-11,-3.171e-11,0.066375,-1.2386,-0.84583,0
-0.26577,-0.26577,0,4.8853e-12,4.8853e-12,4.8853e-12,0.12422,-1.2701,-0.79732,0
-0.26032,-0.26032,0,4.7783e-11,4.7783e-11,4.7783e-11,0.14355,-1.2803,-0.78095,0
-0.25433,-0.25433,0,9.0505e-11,9.0505e-11,9.0505e-11,0.16442,-1.291,-0.76299,0
-0.24791,-0.24791,0,1.3466e-10,1.3466e-10,1.3466e-10,0.18679,-1.3024,-0.74372,0
-0.23713,-0.23713,0,4.5372e-10,4.5372e-10,4.5372e-10,0.22374,-1.3202,-0.71138,0
-0.22617,-0.22617,0,6.5228e-10,6.5228e-10,6.5228e-10,0.26086,-1.3375,-0.67851,0
-0.21129,-0.21129,0,1.4964e-09,1.4964e-09,1.4964e-09,0.31054,-1.3592,-0.63386,0
-0.20719,-0.20719,0,1.6565e-09,1.6565e-09,1.6565e-09,0.32411,-1.365,-0.62157,0
-0.19993,-0.19993,0,2.2655e-09,2.2655e-09,2.2655e-09,0.34788,-1.3745,-0.59978,0
-0.18989,-0.18989,0,3.111e-09,3.111e-09,3.111e-09,0.38065,-1.3874,-0.56967,0
-0.18388,-0.18388,0,3.8163e-09,3.8163e-09,3.8163e-09,0.40005,-1.3946,-0.55165,0
-0.17261,-0.17261,0,4.9827e-09,4.9827e-09,4.9827e-09,0.4362,-1.4074,-0.51782,0
-0.16171,-0.16171,0,6.6835e-09,6.6835e-09,6.6835e-09,0.4708,-1.4187,-0.48514,0
-0.15283,-0.15283,0,8.1538e-09,8.1538e-09,8.1538e-09,0.49892,-1.4277,-0.45849,0
-0.14363,-0.14363,0,9.5909e-09,9.5909e-09,9.5909e-09,0.52788,-1.4365,-0.43089,0
-0.13404,-0.13404,0,1.1073e-08,1.1073e-08,1.1073e-08,0.55777,-1.4446,-0.40213,0
-0.1152,-0.1152,0,1.1814e-08,1.1814e-08,1.1814e-08,0.61627,-1.4596,-0.34559,0
-0.11518,-0.11518,0,1.1816e-08,1.1816e-08,1.1816e-08,0.61632,-1.4597,-0.34555,0
-0.095218,-0.095218,0,-2.2097e-09,-2.2097e-09,-2.2097e-09,0.67755,-1.4724,-0.28565,0
-0.09319,-0.09319,0,-2.436e-09,-2.436e-09,-2.436e-09,0.68376,-1.4736,-0.27957,0
-0.088804,-0.088804,0,-6.075e-09,-6.075e-09,-6.075e-09,0.69711,-1.4759,-0.26641,0
-0.075292,-0.075292,0,-2.7533e-08,-2.7533e-08,-2.7533e-08,0.7382,-1.4826,-0.22587,0
-0.065362,-0.065362,0,-7.4192e-08,-7.4192e-08,-7.4192e-08,0.7683,-1.4869,-0.19608,0
-0.058944,-0.058944,0,-9.9481e-08,-9.9481e-08,-9.9481e-08,0.7877,-1.4893,-0.17683,0
-0.052005,-0.052005,0,-1.3918e-07,-1.3918e-07,-1.3918e-07,0.80863,-1.4915,-0.15602,0
-0.039405,-0.039405,0,-3.0332e-07,-3.0332e-07,-3.0332e-07,0.84659,-1.495,-0.11821,0
-0.021115,-0.021115,0,-6.0855e-07,-6.0855e-07,-6.0855e-07,0.90158,-1.4985,-0.063346,0
-0.019304,-0.019304,0,-6.364e-07,-6.364e-07,-6.364e-07,0.90702,-1.4988,-0.057912,0
-0.017831,-0.017831,0,-6.7008e-07,-6.7008e-07,-6.7008e-07,0.91144,-1.4989,-0.053493,0
0.0086618,0.0086618,0,-1.1605e-06,-1.1605e-06,-1.1605e-06,0.99092,-1.4994,0.025985,0
0.022117,0.022117,0,-1.3024e-06,-1.3024e-06,-1.3024e-06,1.0313,-1.4979,0.066352,0
0.034982,0.034982,0,-9.3938e-07,-9.3938e-07,-9.3938e-07,1.07,-1.4957,0.10495,0
0.043573,0.043573,0,-4.2361e-07,-4.2361e-07,-4.2361e-07,1.0958,-1.4937,0.13072,0
0.059139,0.059139,0,-8.2166e-08,-8.2166e-08,-8.2166e-08,1.1427,-1.4892,0.17742,0
0.069888,0.069888,0,9.9912e-07,9.9912e-07,9.9912e-07,1.1753,-1.4847,0.20967,0
0.08712,0.08712,0,2.4829e-06,2.4829e-06,2.4829e-06,1.2276,-1.4768,0.26136,0
0.09419,0.09419,0,3.555e-06,3.555e-06,3.555e-06,1.2492,-1.4729,0.28257,0
0.10236,0.10236,0,4.7359e-06,4.7359e-06,4.7359e-06,1.2742,-1.4678,0.30707,0
0.11679,0.11679,0,7.087e-06,7.087e-06,7.087e-06,1.3185,-1.4585,0.35037,0
0.11686,0.11686,0,7.0955e-06,7.0955e-06,7.0955e-06,1.3187,-1.4585,0.35058,0
0.1169,0.1169,0,7.0986e-06,7.0986e-06,7.0986e-06,1.3188,-1.4584,0.3507,0
