"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
1.4967,0.0073993,0,0.82795,0.82795,0.82795,5.441,0.0073993,-1.4967,0
1.4912,0.13457,0,1.3343,1.3343,1.3343,5.5683,0.13457,-1.4912,0
1.4766,0.25286,0,1.532,1.532,1.532,5.6875,0.25286,-1.4766,0
1.4705,0.29067,0,1.5257,1.5257,1.5257,5.7258,0.29067,-1.4705,0
1.4627,0.32326,0,1.2706,1.2706,1.2706,5.7593,0.32326,-1.4627,0
1.4211,0.47038,0,0.68539,0.68539,0.68539,5.9122,0.47038,-1.4211,0
1.3894,0.55858,0,0.35316,0.35316,0.35316,6.006,0.55858,-1.3894,0
1.3551,0.63727,0,0.13946,0.13946,0.13946,6.0918,0.63727,-1.3551,0
1.3228,0.70335,0,0.79463,0.79463,0.79463,6.1654,0.70335,-1.3228,0
1.2671,0.79611,0,-0.063174,-0.063174,-0.063174,6.2735,0.79611,-1.2671,0
1.2297,0.85407,0,-0.21753,-0.21753,-0.21753,6.3425,0.85407,-1.2297,0
1.1859,0.91464,0,-0.32009,-0.32009,-0.32009,6.4172,0.91464,-1.1859,0
1.1417,0.9701,0,-0.072758,-0.072758,-0.072758,6.4882,0.9701,-1.1417,0
1.0571,1.0608,0,-0.20981,-0.20981,-0.20981,6.6122,1.0608,-1.0571,0
1.0256,1.0927,0,-0.14333,-0.14333,-0.14333,6.657,1.0927,-1.0256,0
1.0144,1.103,0,-0.16451,-0.16451,-0.16451,6.6723,1.103,-1.0144,0
0.90153,1.1957,0,0.25699,0.25699,0.25699,6.8183,1.1957,-0.90153,0
0.86592,1.2244,0,0.36272,0.36272,0.36272,6.8641,1.2244,-0.86592,0
0.86122,1.2277,0,0.38545,0.38545,0.38545,6.8698,1.2277,-0.86122,0
0.72677,1.3085,0,-0.10616,-0.10616,-0.10616,7.0266,1.3085,-0.72677,0
0.67355,1.3378,0,-0.33965,-0.33965,-0.33965,7.0874,1.3378,-0.67355,0
0.56729,1.3861,0,-0.12095,-0.12095,-0.12095,7.2041,1.3861,-0.56729,0
0.51045,1.4083,0,0.19742,0.19742,0.19742,7.2652,1.4083,-0.51045,0
0.37914,1.4482,0,0.12782,0.12782,0.12782,7.4024,1.4482,-0.37914,0
0.33253,1.4606,0,0.029595,0.029595,0.029595,7.4506,1.4606,-0.33253,0
0.27301,1.471,0,-0.11494,-0.11494,-0.11494,7.511,1.471,-0.27301,0
0.15623,1.4892,0,-0.16374,-0.16374,-0.16374,7.6292,1.4892,-0.15623,0
0.029462,1.495,0,-0.030743,-0.030743,-0.030743,7.7561,1.495,-0.029462,0
-0.040681,1.4964,0,0.15949,0.15949,0.15949,7.8263,1.4964,0.040681,0
-0.081336,1.4956,0,0.24272,0.24272,0.24272,7.8669,1.4956,0.081336,0
-0.1981,1.4825,0,0.041025,0.041025,0.041025,7.9844,1.4825,0.1981,0
-0.26863,1.4743,0,-0.059983,-0.059983,-0.059983,8.0555,1.4743,0.26863,0
-0.29807,1.4679,0,-0.018945,-0.018945,-0.018945,8.0856,1.4679,0.29807,0
-0.45285,1.4279,0,-0.21786,-0.21786,-0.21786,8.2455,1.4279,0.45285,0
-0.50927,1.4084,0,-0.10683,-0.10683,-0.10683,8.3051,1.4084,0.50927,0
-0.59946,1.3724,0,0.55562,0.55562,0.55562,8.4022,1.3724,0.59946,0
-0.70395,1.3218,0,0.14133,0.14133,0.14133,8.5183,1.3218,0.70395,0
-0.73807,1.3039,0,-0.18465,-0.18465,-0.18465,8.5569,1.3039,0.73807,0
-0.80365,1.2628,0,-0.2412,-0.2412,-0.2412,8.6343,1.2628,0.80365,0
-0.88135,1.2096,0,-0.32016,-0.32016,-0.32016,8.7285,1.2096,0.88135,0
-0.91585,1.184,0,-0.15421,-0.15421,-0.15421,8.7714,1.184,0.91585,0
-1.0471,1.0723,0,0.29948,0.29948,0.29948,8.9438,1.0723,1.0471,0
-1.0577,1.0632,0,0.34531,0.34531,0.34531,8.9577,1.0632,1.0577,0
-1.0613,1.0597,0,0.34736,0.34736,0.34736,8.9628,1.0597,1.0613,0
-1.0841,1.0338,0,0.24382,0.24382,0.24382,8.9973,1.0338,1.0841,0
-1.1863,0.91614,0,-0.1827,-0.1827,-0.1827,9.1531,0.91614,1.1863,0
-1.2016,0.89549,0,-0.22436,-0.22436,-0.22436,9.1788,0.89549,1.2016,0
-1.2803,0.77541,0,-0.21812,-0.21812,-0.21812,9.3224,0.77541,1.2803,0
-1.3202,0.69988,0,-0.0021616,-0.0021616,-0.0021616,9.4078,0.69988,1.3202,0
