"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
-0.29991,-0.29991,0,-7.8453e-12,-7.8453e-12,-7.8453e-12,0,-1.1998,-0.89973,0
-0.28786,-0.28786,0,-5.9263e-12,-5.9263e-12,-5.9263e-12,0.044715,-1.2261,-0.86357,0
-0.28324,-0.28324,0,-5.4357e-12,-5.4357e-12,-5.4357e-12,0.061695,-1.236,-0.84972,0
-0.28194,-0.28194,0,-5.1254e-12,-5.1254e-12,-5.1254e-12,0.066375,-1.2386,-0.84583,0
-0.26577,-0.26577,0,-4.1341e-12,-4.1341e-12,-4.1341e-12,0.12422,-1.2701,-0.79732,0
-0.26032,-0.26032,0,-3.4309e-12,-3.4309e-12,-3.4309e-12,0.14355,-1.2803,-0.78095,0
-0.25433,-0.25433,0,-3.346e-12,-3.346e-12,-3.346e-12,0.16442,-1.291,-0.76299,0
-0.24791,-0.24791,0,-2.8355e-12,-2.8355e-12,-2.8355e-12,0.18679,-1.3024,-0.74372,0
-0.23713,-0.23713,0,-2.2245e-12,-2.2245e-12,-2.2245e-12,0.22374,-1.3202,-0.71138,0
-0.22617,-0.22617,0,-2.0587e-12,-2.0587e-12,-2.0587e-12,0.26086,-1.3375,-0.67851,0
-0.21129,-0.21129,0,-1.6032e-12,-1.6032e-12,-1.6032e-12,0.31054,-1.3592,-0.63386,0
-0.20719,-0.20719,0,-1.5755e-12,-1.5755e-12,-1.5755e-12,0.32411,-1.365,-0.62157,0
-0.19993,-0.19993,0,-1.4199e-12,-1.4199e-12,-1.4199e-12,0.34788,-1.3745,-0.59978,0
-0.18989,-0.18989,0,-1.2114e-12,-1.2114e-12,-1.2114e-12,0.38065,-1.3874,-0.56967,0
-0.18388,-0.18388,0,-1.0488e-12,-1.0488e-12,-1.0488e-12,0.40005,-1.3946,-0.55165,0
-0.17261,-0.17261,0,-9.8031e-13,-9.8031e-13,-9.8031e-13,0.4362,-1.4074,-0.51782,0
-0.16171,-0.16171,0,-8.2299e-13,-8.2299e-13,-8.2299e-13,0.4708,-1.4187,-0.48514,0
-0.15283,-0.15283,0,-2.9526e-13,-2.9526e-13,-2.9526e-13,0.49892,-1.4277,-0.45849,0
-0.14363,-0.14363,0,1.6139e-13,1.6139e-13,1.6139e-13,0.52788,-1.4365,-0.43089,0
-0.13404,-0.13404,0,5.8854e-13,5.8854e-13,5.8854e-13,0.55777,-1.4446,-0.40213,0
-0.1152,-0.1152,0,9.9713e-13,9.9713e-13,9.9713e-13,0.61627,-1.4596,-0.34559,0
