"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,2.5467,0,0,0.0018002,0,3.7141,0,0,0,0,0,1,0,5,0,0
0.0036459,0,0,0,2.5431,0,0,0.0017981,0,3.7119,-0.00016901,0,0,0,0,1,0.001,5,0.001,0
0.0072917,0,0,0,2.5395,0,0,0.0017959,0,3.7097,-0.00033801,0,0,0,0,1,0.002,5,0.002,0
0.010938,0,0,0,2.5359,0,0,0.0017938,0,3.7075,-0.00050702,0,0,0,0,1,0.003,5,0.003,0
0.014583,0,0,0,2.5323,0,0,0.0017916,0,3.7054,-0.00067603,0,0,0,0,1,0.004,5,0.004,0
0.018229,0,0,0,2.5287,0,0,0.0017895,0,3.7032,-0.00084503,0,0,0,0,1,0.005,5,0.005,0
0.021875,0,0,0,2.5252,0,0,0.0017874,0,3.701,-0.001014,0,0,0,0,1,0.006,5,0.006,0
0.025521,0,0,0,2.5216,0,0,0.0017852,0,3.6988,-0.001183,0,0,0,0,1,0.007,5,0.007,0
0.029167,0,0,0,2.518,0,0,0.0017831,0,3.6966,-0.0013521,0,0,0,0,1,0.008,5,0.008,0
0.032813,0,0,0,2.5144,0,0,0.0017809,0,3.6944,-0.0015211,0,0,0,0,1,0.009,5,0.009,0
0.036459,0,0,0,2.5108,0,0,0.0017788,0,3.6922,-0.0016901,0,0,0,0,1,0.01,5,0.01,0
0.040105,0,0,0,2.5072,0,0,0.0017766,0,3.69,-0.0018591,0,0,0,0,1,0.011,5,0.011,0
0.04375,0,0,0,2.5036,0,0,0.0017745,0,3.6878,-0.0020281,0,0,0,0,1,0.012,5,0.012,0
0.047396,0,0,0,2.5,0,0,0.0017723,0,3.6856,-0.0021971,0,0,0,0,1,0.013,5,0.013,0
0.051042,0,0,0,2.4964,0,0,0.0017702,0,3.6834,-0.0023661,0,0,0,0,1,0.014,5,0.014,0
0.054688,0,0,0,2.4928,0,0,0.001768,0,3.6812,-0.0025351,0,0,0,0,1,0.015,5,0.015,0
0.058334,0,0,0,2.4893,0,0,0.0017659,0,3.679,-0.0027041,0,0,0,0,1,0.016,5,0.016,0
0.06198,0,0,0,2.4857,0,0,0.0017637,0,3.6769,-0.0028731,0,0,0,0,1,0.017,5,0.017,0
0.065626,0,0,0,2.4821,0,0,0.0017616,0,3.6747,-0.0030421,0,0,0,0,1,0.018,5,0.018,0
0.069271,0,0,0,2.4785,0,0,0.0017594,0,3.6725,-0.0032111,0,0,0,0,1,0.019,5,0.019,0
0.072917,0,0,0,2.4749,0,0,0.0017573,0,3.6703,-0.0033801,0,0,0,0,1,0.02,5,0.02,0
0.076563,0,0,0,2.4713,0,0,0.0017551,0,3.6681,-0.0035491,0,0,0,0,1,0.021,5,0.021,0
0.080209,0,0,0,2.4677,0,0,0.001753,0,3.6659,-0.0037181,0,0,0,0,1,0.022,5,0.022,0
0.083855,0,0,0,2.4641,0,0,0.0017508,0,3.6637,-0.0038872,0,0,0,0,1,0.023,5,0.023,0
0.087501,0,0,0,2.4605,0,0,0.0017487,0,3.6615,-0.0040562,0,0,0,0,1,0.024,5,0.024,0
0.091147,0,0,0,2.4569,0,0,0.0017465,0,3.6593,-0.0042252,0,0,0,0,1,0.025,5,0.025,0
0.094792,0,0,0,2.4534,0,0,0.0017444,0,3.6571,-0.0043942,0,0,0,0,1,0.026,5,0.026,0
0.098438,0,0,0,2.4498,0,0,0.0017423,0,3.6549,-0.0045632,0,0,0,0,1,0.027,5,0.027,0
0.10208,0,0,0,2.4462,0,0,0.0017401,0,3.6527,-0.0047322,0,0,0,0,1,0.028,5,0.028,0
0.10573,0,0,0,2.4426,0,0,0.001738,0,3.6505,-0.0049012,0,0,0,0,1,0.029,5,0.029,0
0.10938,0,0,0,2.439,0,0,0.0017358,0,3.6483,-0.0050702,0,0,0,0,1,0.03,5,0.03,0
0.11302,0,0,0,2.4354,0,0,0.0017337,0,3.6462,-0.0052392,0,0,0,0,1,0.031,5,0.031,0
0.11667,0,0,0,2.4318,0,0,0.0017315,0,3.644,-0.0054082,0,0,0,0,1,0.032,5,0.032,0
0.12031,0,0,0,2.4282,0,0,0.0017294,0,3.6418,-0.0055772,0,0,0,0,1,0.033,5,0.033,0
0.12396,0,0,0,2.4246,0,0,0.0017272,0,3.6396,-0.0057462,0,0,0,0,1,0.034,5,0.034,0
0.12761,0,0,0,2.4211,0,0,0.0017251,0,3.6374,-0.0059152,0,0,0,0,1,0.035,5,0.035,0
0.13125,0,0,0,2.4175,0,0,0.0017229,0,3.6352,-0.0060842,0,0,0,0,1,0.036,5,0.036,0
0.1349,0,0,0,2.4139,0,0,0.0017208,0,3.633,-0.0062532,0,0,0,0,1,0.037,5,0.037,0
0.13854,0,0,0,2.4103,0,0,0.0017186,0,3.6308,-0.0064223,0,0,0,0,1,0.038,5,0.038,0
0.14219,0,0,0,2.4067,0,0,0.0017165,0,3.6286,-0.0065913,0,0,0,0,1,0.039,5,0.039,0
