"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1733,0,0,0,2.2779,0,0,0.060964,0,2.6116,0.0013309,0,0,0,0,1,0.065323,5,0.065323,0
0.17691,0,0,0,2.2774,0,0,0.061309,0,2.6086,0.0013587,0,0,0,0,1,0.066684,5,0.066684,0
0.18053,0,0,0,2.2769,0,0,0.061654,0,2.6057,0.0013864,0,0,0,0,1,0.068045,5,0.068045,0
0.18414,0,0,0,2.2764,0,0,0.061999,0,2.6028,0.0014141,0,0,0,0,1,0.069406,5,0.069406,0
0.18775,0,0,0,2.2759,0,0,0.062344,0,2.5999,0.0014419,0,0,0,0,1,0.070767,5,0.070767,0
0.19136,0,0,0,2.2754,0,0,0.062689,0,2.597,0.0014696,0,0,0,0,1,0.072128,5,0.072128,0
0.19497,0,0,0,2.2749,0,0,0.063034,0,2.5941,0.0014973,0,0,0,0,1,0.073489,5,0.073489,0
0.19858,0,0,0,2.2744,0,0,0.063379,0,2.5912,0.001525,0,0,0,0,1,0.07485,5,0.07485,0
0.20219,0,0,0,2.2739,0,0,0.063725,0,2.5883,0.0015528,0,0,0,0,1,0.07621,5,0.07621,0
0.2058,0,0,0,2.2734,0,0,0.06407,0,2.5853,0.0015805,0,0,0,0,1,0.077571,5,0.077571,0
0.20941,0,0,0,2.2729,0,0,0.064415,0,2.5824,0.0016082,0,0,0,0,1,0.078932,5,0.078932,0
0.21302,0,0,0,2.2723,0,0,0.06476,0,2.5795,0.001636,0,0,0,0,1,0.080293,5,0.080293,0
0.21663,0,0,0,2.2718,0,0,0.065105,0,2.5766,0.0016637,0,0,0,0,1,0.081654,5,0.081654,0
0.22024,0,0,0,2.2713,0,0,0.06545,0,2.5737,0.0016914,0,0,0,0,1,0.083015,5,0.083015,0
0.22385,0,0,0,2.2708,0,0,0.065795,0,2.5708,0.0017191,0,0,0,0,1,0.084376,5,0.084376,0
0.22746,0,0,0,2.2703,0,0,0.06614,0,2.5679,0.0017469,0,0,0,0,1,0.085737,5,0.085737,0
0.23107,0,0,0,2.2698,0,0,0.066485,0,2.565,0.0017746,0,0,0,0,1,0.087098,5,0.087098,0
0.23468,0,0,0,2.2693,0,0,0.06683,0,2.562,0.0018023,0,0,0,0,1,0.088459,5,0.088459,0
0.23829,0,0,0,2.2688,0,0,0.067175,0,2.5591,0.00183,0,0,0,0,1,0.089819,5,0.089819,0
0.24188,0,0,0,2.2696,0,0,0.067574,0,2.5562,0.0018678,0,0,0,0,1,0.09118,5,0.09118,0
0.24524,0,0,0,2.2831,0,0,0.068505,0,2.5526,0.0020058,0,0,0,0,1,0.092541,5,0.092541,0
0.24861,0,0,0,2.2966,0,0,0.069436,0,2.5491,0.0021438,0,0,0,0,1,0.093902,5,0.093902,0
0.25197,0,0,0,2.31,0,0,0.070368,0,2.5455,0.0022818,0,0,0,0,1,0.095263,5,0.095263,0
0.25533,0,0,0,2.3235,0,0,0.071299,0,2.542,0.0024197,0,0,0,0,1,0.096624,5,0.096624,0
0.25869,0,0,0,2.337,0,0,0.072231,0,2.5384,0.0025577,0,0,0,0,1,0.097985,5,0.097985,0
0.26206,0,0,0,2.3505,0,0,0.073162,0,2.5349,0.0026957,0,0,0,0,1,0.099346,5,0.099346,0
0.26542,0,0,0,2.364,0,0,0.074093,0,2.5314,0.0028337,0,0,0,0,1,0.10071,5,0.10071,0
0.26878,0,0,0,2.3775,0,0,0.075025,0,2.5278,0.0029717,0,0,0,0,1,0.10207,5,0.10207,0
0.27214,0,0,0,2.3909,0,0,0.075956,0,2.5243,0.0031097,0,0,0,0,1,0.10343,5,0.10343,0
0.27551,0,0,0,2.4044,0,0,0.076887,0,2.5207,0.0032477,0,0,0,0,1,0.10479,5,0.10479,0
0.27887,0,0,0,2.4179,0,0,0.077819,0,2.5172,0.0033857,0,0,0,0,1,0.10615,5,0.10615,0
0.28223,0,0,0,2.4314,0,0,0.07875,0,2.5137,0.0035236,0,0,0,0,1,0.10751,5,0.10751,0
0.28559,0,0,0,2.4449,0,0,0.079682,0,2.5101,0.0036616,0,0,0,0,1,0.10887,5,0.10887,0
0.28896,0,0,0,2.4584,0,0,0.080613,0,2.5066,0.0037996,0,0,0,0,1,0.11023,5,0.11023,0
0.29232,0,0,0,2.4718,0,0,0.081544,0,2.503,0.0039376,0,0,0,0,1,0.11159,5,0.11159,0
0.29568,0,0,0,2.4853,0,0,0.082476,0,2.4995,0.0040756,0,0,0,0,1,0.11295,5,0.11295,0
0.29904,0,0,0,2.4988,0,0,0.083407,0,2.4959,0.0042136,0,0,0,0,1,0.11432,5,0.11432,0
0.30241,0,0,0,2.5123,0,0,0.084339,0,2.4924,0.0043516,0,0,0,0,1,0.11568,5,0.11568,0
0.30577,0,0,0,2.5258,0,0,0.08527,0,2.4889,0.0044896,0,0,0,0,1,0.11704,5,0.11704,0
0.30913,0,0,0,2.5393,0,0,0.086201,0,2.4853,0.0046276,0,0,0,0,1,0.1184,5,0.1184,0
0.31249,0,0,0,2.5527,0,0,0.087133,0,2.4818,0.0047655,0,0,0,0,1,0.11976,5,0.11976,0
0.31586,0,0,0,2.5662,0,0,0.088064,0,2.4782,0.0049035,0,0,0,0,1,0.12112,5,0.12112,0
0.31922,0,0,0,2.5797,0,0,0.088995,0,2.4747,0.0050415,0,0,0,0,1,0.12248,5,0.12248,0
0.32258,0,0,0,2.5932,0,0,0.089927,0,2.4711,0.0051795,0,0,0,0,1,0.12384,5,0.12384,0
0.32594,0,0,0,2.6067,0,0,0.090858,0,2.4676,0.0053175,0,0,0,0,1,0.1252,5,0.1252,0
0.32931,0,0,0,2.6202,0,0,0.09179,0,2.4641,0.0054555,0,0,0,0,1,0.12656,5,0.12656,0
0.33267,0,0,0,2.6336,0,0,0.092721,0,2.4605,0.0055935,0,0,0,0,1,0.12792,5,0.12792,0
0.33603,0,0,0,2.6471,0,0,0.093652,0,2.457,0.0057315,0,0,0,0,1,0.12929,5,0.12929,0
0.33939,0,0,0,2.6606,0,0,0.094584,0,2.4534,0.0058694,0,0,0,0,1,0.13065,5,0.13065,0
0.34275,0,0,0,2.6741,0,0,0.095515,0,2.4499,0.0060074,0,0,0,0,1,0.13201,5,0.13201,0
0.34612,0,0,0,2.6876,0,0,0.096447,0,2.4463,0.0061454,0,0,0,0,1,0.13337,5,0.13337,0
0.34948,0,0,0,2.7011,0,0,0.097378,0,2.4428,0.0062834,0,0,0,0,1,0.13473,5,0.13473,0
0.35284,0,0,0,2.7145,0,0,0.098309,0,2.4393,0.0064214,0,0,0,0,1,0.13609,5,0.13609,0
0.3562,0,0,0,2.728,0,0,0.099241,0,2.4357,0.0065594,0,0,0,0,1,0.13745,5,0.13745,0
0.35957,0,0,0,2.7415,0,0,0.10017,0,2.4322,0.0066974,0,0,0,0,1,0.13881,5,0.13881,0
0.36293,0,0,0,2.755,0,0,0.1011,0,2.4286,0.0068354,0,0,0,0,1,0.14017,5,0.14017,0
0.36629,0,0,0,2.7685,0,0,0.10203,0,2.4251,0.0069734,0,0,0,0,1,0.14153,5,0.14153,0
0.36965,0,0,0,2.782,0,0,0.10297,0,2.4215,0.0071113,0,0,0,0,1,0.14289,5,0.14289,0
0.37302,0,0,0,2.7954,0,0,0.1039,0,2.418,0.0072493,0,0,0,0,1,0.14426,5,0.14426,0
0.37636,0,0,0,2.8101,0,0,0.10488,0,2.4144,0.0074121,0,0,0,0,1,0.14562,5,0.14562,0
0.37969,0,0,0,2.8255,0,0,0.1059,0,2.4107,0.007589,0,0,0,0,1,0.14698,5,0.14698,0
0.38302,0,0,0,2.8409,0,0,0.10692,0,2.4071,0.007766,0,0,0,0,1,0.14834,5,0.14834,0
0.38635,0,0,0,2.8563,0,0,0.10794,0,2.4035,0.0079429,0,0,0,0,1,0.1497,5,0.1497,0
0.38969,0,0,0,2.8717,0,0,0.10896,0,2.3998,0.0081199,0,0,0,0,1,0.15106,5,0.15106,0
0.39302,0,0,0,2.8871,0,0,0.10998,0,2.3962,0.0082968,0,0,0,0,1,0.15242,5,0.15242,0
0.39635,0,0,0,2.9025,0,0,0.111,0,2.3925,0.0084737,0,0,0,0,1,0.15378,5,0.15378,0
0.39968,0,0,0,2.9179,0,0,0.11201,0,2.3889,0.0086507,0,0,0,0,1,0.15514,5,0.15514,0
0.40301,0,0,0,2.9333,0,0,0.11303,0,2.3852,0.0088276,0,0,0,0,1,0.1565,5,0.1565,0
0.40634,0,0,0,2.9487,0,0,0.11405,0,2.3816,0.0090046,0,0,0,0,1,0.15786,5,0.15786,0
0.40967,0,0,0,2.9641,0,0,0.11507,0,2.3779,0.0091815,0,0,0,0,1,0.15923,5,0.15923,0
0.41297,0,0,0,2.9802,0,0,0.11615,0,2.3741,0.0093629,0,0,0,0,1,0.16059,5,0.16059,0
0.41605,0,0,0,3.0005,0,0,0.11759,0,2.3694,0.0095688,0,0,0,0,1,0.16195,5,0.16195,0
0.41914,0,0,0,3.0207,0,0,0.11904,0,2.3646,0.0097747,0,0,0,0,1,0.16331,5,0.16331,0
0.42222,0,0,0,3.0409,0,0,0.12048,0,2.3599,0.0099806,0,0,0,0,1,0.16467,5,0.16467,0
0.4253,0,0,0,3.0612,0,0,0.12192,0,2.3551,0.010187,0,0,0,0,1,0.16603,5,0.16603,0
0.42839,0,0,0,3.0814,0,0,0.12336,0,2.3503,0.010392,0,0,0,0,1,0.16739,5,0.16739,0
