"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
0,0,0,4.2003,4.2003,0.5,6.31,1,0
0,0,0,4.3217,4.3217,0.5,6.3695,1,0
0,0,0,4.8789,4.8789,0.5,6.4291,1,0
0,0,0,4.381,4.381,0.5,6.4886,1,0
0,0,0,4.7357,4.7357,0.5,6.5482,1,0
0,0,0,4.2304,4.2304,0.5,6.6077,1,0
0,0,0,4.3819,4.3819,0.5,6.6673,1,0
0,0,0,4.2017,4.2017,0.5,6.7268,1,0
0,0,0,4.1151,4.1151,0.5,6.7864,1,0
0,0,0,4.1419,4.1419,0.5,6.8459,1,0
0,0,0,4.2759,4.2759,0.5,6.9055,1,0
0,0,0,4.8209,4.8209,0.5,6.965,1,0
0,0,0,4.3319,4.3319,0.5,7.0245,1,0
0,0,0,4.6882,4.6882,0.5,7.0841,1,0
0,0,0,4.16,4.16,0.5,7.1436,1,0
0,0,0,4.2994,4.2994,0.5,7.2032,1,0
0,0,0,4.2166,4.2166,0.5,7.2627,1,0
0,0,0,4.1152,4.1152,0.5,7.3223,1,0
0,0,0,4.1177,4.1177,0.5,7.3818,1,0
0,0,0,4.2529,4.2529,0.5,7.4414,1,0
0,0,0,4.3457,4.3457,0.5,7.5009,1,0
0,0,0,4.3899,4.3899,0.5,7.5605,1,0
0,0,0,4.0984,4.0984,0.5,7.62,1,0
0,0,0,4.1913,4.1913,0.5,7.6795,1,0
0,0,0,4.309,4.309,0.5,7.7391,1,0
0,0,0,4.34,4.34,0.5,7.7986,1,0
0,0,0,4.2551,4.2551,0.5,7.8582,1,0
0,0,0,4.0917,4.0917,0.5,7.9177,1,0
0,0,0,4.2225,4.2225,0.5,7.9773,1,0
0,0,0,4.2713,4.2713,0.5,8.0368,1,0
0,0,0,4.1231,4.1231,0.5,8.0964,1,0
0,0,0,4.61,4.61,0.5,8.1559,1,0
0,0,0,4.2266,4.2266,0.5,8.2155,1,0
0,0,0,4.1165,4.1165,0.5,8.3345,1,0
0,0,0,3.7174,3.7174,0.5,8.394,1,0
0,0,0,4.149,4.149,0.5,8.4534,1,0
0,0,0,3.9929,3.9929,0.5,8.5129,1,0
0,0,0,4.3553,4.3553,0.5,8.5724,1,0
0,0,0,4.2365,4.2365,0.5,8.6319,1,0
0,0,0,4.2258,4.2258,0.5,8.6914,1,0
0,0,0,4.1372,4.1372,0.5,8.7509,1,0
