"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.9854,0,0,0,1,0,5,0,0
-5.8665,0.058809,-2.1676e-06,0,1,0.01,5,0.01,0
-5.7476,0.11762,-4.3352e-06,0,1,0.02,5,0.02,0
-5.6286,0.17643,-6.5028e-06,0,1,0.03,5,0.03,0
-5.5091,0.23109,-8.9982e-06,0,1,0.04,5,0.04,0
-5.3894,0.28516,-1.154e-05,0,1,0.05,5,0.05,0
-5.2697,0.33923,-1.4083e-05,0,1,0.06,5,0.06,0
-5.15,0.39069,-1.8067e-05,0,1,0.07,5,0.07,0
-5.0303,0.44127,-2.2532e-05,0,1,0.08,5,0.08,0
-4.9105,0.49186,-2.6997e-05,0,1,0.09,5,0.09,0
-4.7907,0.54006,-3.2846e-05,0,1,0.1,5,0.1,0
-4.6709,0.58683,-3.9524e-05,0,1,0.11,5,0.11,0
-4.5511,0.63361,-4.6202e-05,0,1,0.12,5,0.12,0
-4.4313,0.67851,-5.2651e-05,0,1,0.13,5,0.13,0
-4.3115,0.72156,-5.887e-05,0,1,0.14,5,0.14,0
-4.1917,0.76461,-6.5088e-05,0,1,0.15,5,0.15,0
-4.0719,0.80625,-7.0616e-05,0,1,0.16,5,0.16,0
-3.9521,0.84555,-7.4993e-05,0,1,0.17,5,0.17,0
-3.8323,0.88484,-7.937e-05,0,1,0.18,5,0.18,0
-3.7125,0.9232,-8.3264e-05,0,1,0.19,5,0.19,0
-3.5927,0.95876,-8.571e-05,0,1,0.2,5,0.2,0
-3.4729,0.99431,-8.8156e-05,0,1,0.21,5,0.21,0
-3.3531,1.0294,-9.0422e-05,0,1,0.22,5,0.22,0
-3.2333,1.0612,-9.1427e-05,0,1,0.23,5,0.23,0
-3.1135,1.093,-9.2431e-05,0,1,0.24,5,0.24,0
-2.9937,1.1248,-9.3436e-05,0,1,0.25,5,0.25,0
-2.874,1.1529,-9.3285e-05,0,1,0.26,5,0.26,0
-2.7542,1.181,-9.3135e-05,0,1,0.27,5,0.27,0
-2.6344,1.209,-9.2984e-05,0,1,0.28,5,0.28,0
-2.5146,1.2338,-9.187e-05,0,1,0.29,5,0.29,0
-2.3949,1.2582,-9.0619e-05,0,1,0.3,5,0.3,0
-2.2751,1.2825,-8.9367e-05,0,1,0.31,5,0.31,0
-2.1553,1.304,-8.7231e-05,0,1,0.32,5,0.32,0
-2.0356,1.3246,-8.48e-05,0,1,0.33,5,0.33,0
-1.9158,1.3452,-8.2369e-05,0,1,0.34,5,0.34,0
-1.796,1.3634,-7.9125e-05,0,1,0.35,5,0.35,0
-1.6763,1.3802,-7.5395e-05,0,1,0.36,5,0.36,0
-1.5565,1.3971,-7.1664e-05,0,1,0.37,5,0.37,0
-1.4367,1.412,-6.7302e-05,0,1,0.38,5,0.38,0
-1.317,1.4251,-6.2308e-05,0,1,0.39,5,0.39,0
-1.1972,1.4382,-5.7314e-05,0,1,0.4,5,0.4,0
-1.0774,1.4499,-5.1897e-05,0,1,0.41,5,0.41,0
-0.95768,1.4593,-4.5776e-05,0,1,0.42,5,0.42,0
-0.83791,1.4686,-3.9655e-05,0,1,0.43,5,0.43,0
-0.71815,1.477,-3.3331e-05,0,1,0.44,5,0.44,0
-0.59839,1.4827,-2.6399e-05,0,1,0.45,5,0.45,0
-0.47862,1.4883,-1.9466e-05,0,1,0.46,5,0.46,0
-0.35886,1.4934,-1.2476e-05,0,1,0.47,5,0.47,0
-0.2391,1.4953,-5.075e-06,0,1,0.48,5,0.48,0
-0.11934,1.4971,2.3255e-06,0,1,0.49,5,0.49,0
0.00041914,1.499,9.726e-06,0,1,0.5,5,0.5,0
0.12018,1.4971,1.7166e-05,0,1,0.51,5,0.51,0
0.23994,1.4953,2.4606e-05,0,1,0.52,5,0.52,0
0.35969,1.4934,3.2046e-05,0,1,0.53,5,0.53,0
0.47945,1.4882,3.9185e-05,0,1,0.54,5,0.54,0
0.5992,1.4826,4.6282e-05,0,1,0.55,5,0.55,0
0.71896,1.477,5.3379e-05,0,1,0.56,5,0.56,0
0.83871,1.4686,5.9914e-05,0,1,0.57,5,0.57,0
0.95846,1.4592,6.6262e-05,0,1,0.58,5,0.58,0
1.0782,1.4499,7.261e-05,0,1,0.59,5,0.59,0
1.198,1.4382,7.8288e-05,0,1,0.6,5,0.6,0
1.3177,1.425,8.3564e-05,0,1,0.61,5,0.61,0
1.4375,1.4119,8.8839e-05,0,1,0.62,5,0.62,0
1.5572,1.397,9.3456e-05,0,1,0.63,5,0.63,0
1.6769,1.3801,9.7414e-05,0,1,0.64,5,0.64,0
1.7967,1.3633,0.00010137,0,1,0.65,5,0.65,0
1.9164,1.345,0.00010478,0,1,0.66,5,0.66,0
2.0362,1.3245,0.00010729,0,1,0.67,5,0.67,0
2.1559,1.3039,0.00010979,0,1,0.68,5,0.68,0
2.2756,1.2823,0.00011193,0,1,0.69,5,0.69,0
2.3954,1.258,0.00011297,0,1,0.7,5,0.7,0
2.5151,1.2337,0.000114,0,1,0.71,5,0.71,0
2.6349,1.2089,0.00011485,0,1,0.72,5,0.72,0
2.7546,1.1808,0.0001144,0,1,0.73,5,0.73,0
2.8743,1.1528,0.00011394,0,1,0.74,5,0.74,0
2.9941,1.1247,0.00011349,0,1,0.75,5,0.75,0
3.1138,1.0929,0.00011152,0,1,0.76,5,0.76,0
3.2335,1.0611,0.00010954,0,1,0.77,5,0.77,0
3.3533,1.0292,0.00010757,0,1,0.78,5,0.78,0
3.473,0.99416,0.00010411,0,1,0.79,5,0.79,0
3.5928,0.95861,0.00010044,0,1,0.8,5,0.8,0
3.7125,0.92306,9.6777e-05,0,1,0.81,5,0.81,0
3.8323,0.8847,9.1747e-05,0,1,0.82,5,0.82,0
3.952,0.8454,8.6264e-05,0,1,0.83,5,0.83,0
4.0718,0.80611,8.0781e-05,0,1,0.84,5,0.84,0
4.1915,0.76447,7.4312e-05,0,1,0.85,5,0.85,0
4.3113,0.72143,6.7251e-05,0,1,0.86,5,0.86,0
4.431,0.67839,6.0191e-05,0,1,0.87,5,0.87,0
4.5508,0.63349,5.2986e-05,0,1,0.88,5,0.88,0
4.6705,0.58673,4.5637e-05,0,1,0.89,5,0.89,0
4.7903,0.53996,3.8288e-05,0,1,0.9,5,0.9,0
4.9101,0.49177,3.159e-05,0,1,0.91,5,0.91,0
5.0298,0.44119,2.5975e-05,0,1,0.92,5,0.92,0
5.1496,0.39061,2.036e-05,0,1,0.93,5,0.93,0
5.2694,0.33916,1.5292e-05,0,1,0.94,5,0.94,0
5.3892,0.28511,1.1865e-05,0,1,0.95,5,0.95,0
5.509,0.23105,8.4376e-06,0,1,0.96,5,0.96,0
5.6288,0.1764,5.2212e-06,0,1,0.97,5,0.97,0
5.7486,0.1176,3.4808e-06,0,1,0.98,5,0.98,0
5.8684,0.058801,1.7404e-06,0,1,0.99,5,0.99,0
5.9882,0,0,0,1,1,5,1,0
