"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.6858,0.26997,8.6574e-06,0,1,0.91,5,0.91,0
3.7764,0.23997,7.6955e-06,0,1,0.92,5,0.92,0
3.867,0.20997,6.7336e-06,0,1,0.93,5,0.93,0
3.9577,0.17998,5.7716e-06,0,1,0.94,5,0.94,0
4.0483,0.14998,4.8097e-06,0,1,0.95,5,0.95,0
4.1389,0.11999,3.8477e-06,0,1,0.96,5,0.96,0
4.2295,0.089989,2.8858e-06,0,1,0.97,5,0.97,0
4.3201,0.059993,1.9239e-06,0,1,0.98,5,0.98,0
4.4108,0.029996,9.6194e-07,0,1,0.99,5,0.99,0
4.5014,0,0,0,1,1,5,1,0
