"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.9436,0,0,0,1,0,5,0,0
-5.8257,0.057363,-4.2079e-06,0,1,0.01,5,0.01,0
-5.7077,0.11473,-8.4159e-06,0,1,0.02,5,0.02,0
-5.5897,0.17209,-1.2624e-05,0,1,0.03,5,0.03,0
-5.4718,0.22945,-1.6832e-05,0,1,0.04,5,0.04,0
-5.3538,0.28681,-2.104e-05,0,1,0.05,5,0.05,0
-5.2359,0.34418,-2.5248e-05,0,1,0.06,5,0.06,0
-5.1173,0.39448,-2.8541e-05,0,1,0.07,5,0.07,0
-4.9986,0.44244,-3.1528e-05,0,1,0.08,5,0.08,0
-4.8799,0.4904,-3.4516e-05,0,1,0.09,5,0.09,0
-4.7611,0.53835,-3.7504e-05,0,1,0.1,5,0.1,0
-4.6424,0.58631,-4.0492e-05,0,1,0.11,5,0.11,0
-4.5236,0.63427,-4.348e-05,0,1,0.12,5,0.12,0
-4.4048,0.67877,-4.506e-05,0,1,0.13,5,0.13,0
-4.2858,0.71981,-4.5232e-05,0,1,0.14,5,0.14,0
-4.1668,0.76086,-4.5404e-05,0,1,0.15,5,0.15,0
-4.0478,0.8019,-4.5576e-05,0,1,0.16,5,0.16,0
-3.9289,0.84295,-4.5748e-05,0,1,0.17,5,0.17,0
-3.8099,0.88399,-4.592e-05,0,1,0.18,5,0.18,0
-3.6909,0.92314,-4.6205e-05,0,1,0.19,5,0.19,0
-3.5719,0.9566,-4.6831e-05,0,1,0.2,5,0.2,0
-3.4529,0.99006,-4.7456e-05,0,1,0.21,5,0.21,0
-3.3339,1.0235,-4.8081e-05,0,1,0.22,5,0.22,0
-3.2149,1.057,-4.8706e-05,0,1,0.23,5,0.23,0
-3.0959,1.0904,-4.9331e-05,0,1,0.24,5,0.24,0
-2.9769,1.1239,-4.9956e-05,0,1,0.25,5,0.25,0
-2.8579,1.15,-5.0428e-05,0,1,0.26,5,0.26,0
-2.7389,1.176,-5.09e-05,0,1,0.27,5,0.27,0
-2.6199,1.2021,-5.1372e-05,0,1,0.28,5,0.28,0
-2.5009,1.2282,-5.1844e-05,0,1,0.29,5,0.29,0
-2.3819,1.2542,-5.2316e-05,0,1,0.3,5,0.3,0
-2.2629,1.2803,-5.2788e-05,0,1,0.31,5,0.31,0
-2.1438,1.3008,-5.2802e-05,0,1,0.32,5,0.32,0
-2.0248,1.3194,-5.2664e-05,0,1,0.33,5,0.33,0
-1.9058,1.338,-5.2526e-05,0,1,0.34,5,0.34,0
-1.7867,1.3566,-5.2387e-05,0,1,0.35,5,0.35,0
-1.6677,1.3752,-5.2249e-05,0,1,0.36,5,0.36,0
-1.5487,1.3938,-5.2111e-05,0,1,0.37,5,0.37,0
-1.4296,1.4087,-5.1533e-05,0,1,0.38,5,0.38,0
-1.3105,1.4199,-5.0516e-05,0,1,0.39,5,0.39,0
-1.1914,1.4311,-4.9498e-05,0,1,0.4,5,0.4,0
-1.0723,1.4423,-4.8481e-05,0,1,0.41,5,0.41,0
-0.95324,1.4534,-4.7464e-05,0,1,0.42,5,0.42,0
-0.83414,1.4646,-4.6447e-05,0,1,0.43,5,0.43,0
-0.71504,1.4739,-4.5252e-05,0,1,0.44,5,0.44,0
-0.59589,1.4777,-4.3525e-05,0,1,0.45,5,0.45,0
-0.47674,1.4814,-4.1797e-05,0,1,0.46,5,0.46,0
-0.35759,1.4851,-4.007e-05,0,1,0.47,5,0.47,0
-0.23844,1.4888,-3.8343e-05,0,1,0.48,5,0.48,0
-0.11929,1.4926,-3.6615e-05,0,1,0.49,5,0.49,0
-0.00014394,1.4963,-3.4888e-05,0,1,0.5,5,0.5,0
0.11903,1.4926,-3.2763e-05,0,1,0.51,5,0.51,0
0.2382,1.4889,-3.0638e-05,0,1,0.52,5,0.52,0
0.35737,1.4851,-2.8513e-05,0,1,0.53,5,0.53,0
0.47655,1.4814,-2.6388e-05,0,1,0.54,5,0.54,0
