"concentration","vector:0","vector:1","vector:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-21.301,0,0,0,1,0,5,0,0
-18.501,0.19308,0.0115,0,1,0.01,5,0.01,0
-15.7,0.38616,0.023001,0,1,0.02,5,0.02,0
-12.899,0.57924,0.034501,0,1,0.03,5,0.03,0
-10.284,0.75848,0.042681,0,1,0.04,5,0.04,0
-8.1489,0.89985,0.042231,0,1,0.05,5,0.05,0
-6.5076,0.92993,0.032076,0,1,0.06,5,0.06,0
-4.8663,0.96001,0.02192,0,1,0.07,5,0.07,0
-3.225,0.99009,0.011765,0,1,0.08,5,0.08,0
-1.5837,1.0202,0.0016096,0,1,0.09,5,0.09,0
-0.10926,1.049,-0.0052373,0,1,0.1,5,0.1,0
0.57773,1.0682,-0.0010638,0,1,0.11,5,0.11,0
0.4789,1.0644,-0.001123,0,1,0.12,5,0.12,0
0.38128,1.0608,-0.0010784,0,1,0.13,5,0.13,0
0.29674,1.0595,0.00010044,0,1,0.14,5,0.14,0
0.21221,1.0581,0.0012793,0,1,0.15,5,0.15,0
0.12767,1.0568,0.0024581,0,1,0.16,5,0.16,0
0.077356,1.0557,0.0024088,0,1,0.17,5,0.17,0
0.036716,1.0547,0.0020123,0,1,0.18,5,0.18,0
0.013042,1.0544,0.0019139,0,1,0.19,5,0.19,0
-0.0080982,1.0541,0.00186,0,1,0.2,5,0.2,0
-0.029238,1.0538,0.0018061,0,1,0.21,5,0.21,0
-0.050378,1.0536,0.0017522,0,1,0.22,5,0.22,0
-0.041084,1.0537,0.0016784,0,1,0.23,5,0.23,0
-0.02711,1.0539,0.0016015,0,1,0.24,5,0.24,0
-0.013136,1.0541,0.0015246,0,1,0.25,5,0.25,0
0.00083749,1.0543,0.0014477,0,1,0.26,5,0.26,0
0.012218,1.0545,0.0013733,0,1,0.27,5,0.27,0
0.0094737,1.0544,0.0012809,0,1,0.28,5,0.28,0
0.0067297,1.0542,0.0011886,0,1,0.29,5,0.29,0
0.0039856,1.0541,0.0010962,0,1,0.3,5,0.3,0
0.0012416,1.054,0.0010038,0,1,0.31,5,0.31,0
0.00019138,1.054,0.00094731,0,1,0.32,5,0.32,0
-0.00022984,1.0539,0.00090409,0,1,0.33,5,0.33,0
-0.00065105,1.0539,0.00086088,0,1,0.34,5,0.34,0
-0.0010723,1.0539,0.00081766,0,1,0.35,5,0.35,0
-0.0014659,1.0539,0.0007697,0,1,0.36,5,0.36,0
-0.0012934,1.0539,0.00074671,0,1,0.37,5,0.37,0
-0.0010304,1.0538,0.00073389,0,1,0.38,5,0.38,0
-0.00076746,1.0538,0.00072106,0,1,0.39,5,0.39,0
-0.00050448,1.0538,0.00070824,0,1,0.4,5,0.4,0
-0.00024151,1.0538,0.00069541,0,1,0.41,5,0.41,0
-0.00011226,1.0537,0.00068078,0,1,0.42,5,0.42,0
-4.5322e-05,1.0537,0.00066566,0,1,0.43,5,0.43,0
-3.3631e-05,1.0537,0.00066072,0,1,0.44,5,0.44,0
-2.1941e-05,1.0536,0.00065577,0,1,0.45,5,0.45,0
-1.0251e-05,1.0536,0.00065083,0,1,0.46,5,0.46,0
-3.9985e-07,1.0536,0.0006472,0,1,0.47,5,0.47,0
-2.7987e-06,1.0536,0.0006523,0,1,0.48,5,0.48,0
-5.1975e-06,1.0536,0.00065741,0,1,0.49,5,0.49,0
-7.5963e-06,1.0536,0.00066251,0,1,0.5,5,0.5,0
-9.9951e-06,1.0536,0.00066762,0,1,0.51,5,0.51,0
-1.2745e-05,1.0536,0.00067246,0,1,0.52,5,0.52,0
-1.2381e-05,1.0536,0.00070431,0,1,0.53,5,0.53,0
-9.1907e-06,1.0536,0.00073938,0,1,0.54,5,0.54,0
-6e-06,1.0536,0.00077445,0,1,0.55,5,0.55,0
-2.8092e-06,1.0536,0.00080951,0,1,0.56,5,0.56,0
3.8152e-07,1.0536,0.00084458,0,1,0.57,5,0.57,0
3.5723e-06,1.0536,0.00087965,0,1,0.58,5,0.58,0
7.4977e-05,1.0536,0.00092137,0,1,0.59,5,0.59,0
0.00017239,1.0536,0.00096563,0,1,0.6,5,0.6,0
0.00026088,1.0536,0.001011,0,1,0.61,5,0.61,0
0.0003119,1.0536,0.0010609,0,1,0.62,5,0.62,0
0.00036292,1.0536,0.0011108,0,1,0.63,5,0.63,0
0.00041394,1.0536,0.0011608,0,1,0.64,5,0.64,0
0.00039445,1.0535,0.0012147,0,1,0.65,5,0.65,0
0.00025406,1.0535,0.0012754,0,1,0.66,5,0.66,0
0.00011367,1.0534,0.0013361,0,1,0.67,5,0.67,0
-0.00027161,1.0533,0.0014273,0,1,0.68,5,0.68,0
-0.00087686,1.0532,0.0015457,0,1,0.69,5,0.69,0
-0.0018471,1.0532,0.0016666,0,1,0.7,5,0.7,0
-0.0033885,1.0533,0.0017914,0,1,0.71,5,0.71,0
-0.0041525,1.0533,0.0018898,0,1,0.72,5,0.72,0
-0.0035539,1.0533,0.0019419,0,1,0.73,5,0.73,0
-0.0029553,1.0532,0.001994,0,1,0.74,5,0.74,0
0.002613,1.053,0.0021725,0,1,0.75,5,0.75,0
0.011626,1.0527,0.0024385,0,1,0.76,5,0.76,0
0.020639,1.0524,0.0027045,0,1,0.77,5,0.77,0
0.029652,1.0522,0.0029705,0,1,0.78,5,0.78,0
0.027171,1.0521,0.0032575,0,1,0.79,5,0.79,0
0.018907,1.0523,0.0034972,0,1,0.8,5,0.8,0
-0.0023991,1.0528,0.0034396,0,1,0.81,5,0.81,0
-0.023705,1.0533,0.0033821,0,1,0.82,5,0.82,0
-0.045012,1.0538,0.0033245,0,1,0.83,5,0.83,0
-0.083717,1.0547,0.0032068,0,1,0.84,5,0.84,0
-0.19364,1.0572,0.0028429,0,1,0.85,5,0.85,0
-0.30356,1.0597,0.0024789,0,1,0.86,5,0.86,0
-0.41348,1.0622,0.002115,0,1,0.87,5,0.87,0
-0.48604,1.0638,0.0022247,0,1,0.88,5,0.88,0
-0.32683,1.061,0.0030993,0,1,0.89,5,0.89,0
0.82903,1.04,0.0062836,0,1,0.9,5,0.9,0
1.9136,1.0206,0.0078919,0,1,0.91,5,0.91,0
2.9526,1.0022,0.0084906,0,1,0.92,5,0.92,0
3.9916,0.98382,0.0090893,0,1,0.93,5,0.93,0
5.0305,0.96543,0.0096881,0,1,0.94,5,0.94,0
7.3545,0.83105,0.0084854,0,1,0.95,5,0.95,0
10.031,0.66484,0.0067883,0,1,0.96,5,0.96,0
12.708,0.49863,0.0050912,0,1,0.97,5,0.97,0
15.384,0.33242,0.0033942,0,1,0.98,5,0.98,0
18.061,0.16621,0.0016971,0,1,0.99,5,0.99,0
20.738,0,0,0,1,1,5,1,0
